,judul,url,date,label
0,Masak Hidangan Tradisional di Ubad Ubud Bali,https://travel.tempo.co/read/1802276/masak-hidangan-tradisional-di-ubad-ubud-bali,"Senin, 27 November 2023 23:57 WIB",negative
1,"Laba Bersih Triwulan 2023 Naik 12 Persen, Adhi Karya Kempit Rp 23,5 Miliar",https://bisnis.tempo.co/read/1802275/laba-bersih-triwulan-2023-naik-12-persen-adhi-karya-kempit-rp-235-miliar,"Senin, 27 November 2023 23:55 WIB",negative
2,"Jelang Masa Kampanye Pemilu 2024, Forum Lintas Generasi Buat Seruan Jembatan Serong",https://nasional.tempo.co/read/1802273/jelang-masa-kampanye-pemilu-2024-forum-lintas-generasi-buat-seruan-jembatan-serong,"Senin, 27 November 2023 23:44 WIB",negative
3,"Ragam Asmara, dari Cinta Monyet sampai Beracun",https://gaya.tempo.co/read/1802272/ragam-asmara-dari-cinta-monyet-sampai-beracun,"Senin, 27 November 2023 23:36 WIB",negative
4,Sri Mulyani Minta Pemda Gunakan Dana Transfer Daerah untuk Tangani Perubahan Iklim,https://bisnis.tempo.co/read/1802271/sri-mulyani-minta-pemda-gunakan-dana-transfer-daerah-untuk-tangani-perubahan-iklim,"Senin, 27 November 2023 23:34 WIB",negative
5,Komunitas Semut Merah Kaizen Rilis Antologi Kita di Titik Temu bersama 27 Penulis,https://seleb.tempo.co/read/1802270/komunitas-semut-merah-kaizen-rilis-antologi-kita-di-titik-temu-bersama-27-penulis,"Senin, 27 November 2023 23:34 WIB",negative
6,"Ugal-ugalan Setir Mobil Sebabkan 2 Orang Tewas, Anggota Satpol PP Cilincing Jadi Tersangka",https://metro.tempo.co/read/1802268/ugal-ugalan-setir-mobil-sebabkan-2-orang-tewas-anggota-satpol-pp-cilincing-jadi-tersangka,"Senin, 27 November 2023 23:26 WIB",negative
7,"Terpuruk di Zona Degradasi Liga 1, Arema FC Berfokus Perbaiki Mentalitas Pemain",https://bola.tempo.co/read/1802265/terpuruk-di-zona-degradasi-liga-1-arema-fc-berfokus-perbaiki-mentalitas-pemain,"Senin, 27 November 2023 23:06 WIB",negative
8,"Efek Samping Aspirin, Darah Keluar dari Mulut, Hidung sampai Anus",https://gaya.tempo.co/read/1802266/efek-samping-aspirin-darah-keluar-dari-mulut-hidung-sampai-anus,"Senin, 27 November 2023 23:05 WIB",negative
9,"Kades dari Karanganyar Batal Diperiksa Hari ini, Polda Jawa Tengah Jadwalkan Pemanggilan Ulang",https://nasional.tempo.co/read/1802263/kades-dari-karanganyar-batal-diperiksa-hari-ini-polda-jawa-tengah-jadwalkan-pemanggilan-ulang,"Senin, 27 November 2023 23:05 WIB",negative
